epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5657,2.00299,11.7993,0.78123,1.11575,0.09186,37.5547,0.88981,0.71272,0.78701,0.2554,0,0,0,0,2.54471,11.5785,0.96253,0.92969,0.11206,0,0.00065625,0.00065625,0.00065625
2,48.4517,2.10351,10.8564,0.60719,0.78498,0.09729,20.0975,0.57676,0.17647,0.15326,0.01854,0,0,0,0,4.22953,11.2693,0.59176,2.68316,0.21633,0,0.00130982,0.00130982,0.00130982
3,72.545,1.9163,10.4445,0.55421,1.0932,0.08357,16.4723,0.47056,0.58824,0.58504,0.20184,0,0,0,0,1.98147,10.993,0.54778,1.70642,0.09316,0,0.00195019,0.00195019,0.00195019
4,96.8984,1.96753,10.7071,0.64023,1.35783,0.08885,16.5891,0.59019,0.70588,0.65771,0.22311,0,0,0,0,2.32808,11.3276,0.57555,2.8222,0.10744,0,0.0019406,0.0019406,0.0019406
5,121.365,1.89953,10.1514,0.6158,1.28635,0.08525,15.2663,0.79984,0.94118,0.9494,0.40022,0,0,0,0,1.92651,9.87125,0.61853,1.69784,0.1003,0,0.0019208,0.0019208,0.0019208
6,156.683,1.74965,10.0135,0.58261,1.0366,0.07934,14.8517,0.86789,0.79412,0.91975,0.39373,0,0,0,0,2.03961,10.0634,0.50862,0.79284,0.09627,0,0.001901,0.001901,0.001901
7,182.423,1.5772,9.22789,0.54211,0.87096,0.0677,13.2936,0.76236,0.82353,0.88,0.3197,0,0,0,0,2.28694,11.3058,0.52188,1.72116,0.11492,0,0.0018812,0.0018812,0.0018812
8,207.363,1.70235,9.10231,0.51811,0.89673,0.07647,12.5937,0.89711,0.79412,0.8652,0.3628,0,0,0,0,1.97944,8.92542,0.42207,0.88856,0.08731,0,0.0018614,0.0018614,0.0018614
9,235.295,1.59517,8.5454,0.4628,1.13891,0.07057,11.8551,0.72904,0.76471,0.88182,0.4981,0.17273,0.14706,0.03682,0.00453,1.49899,6.86899,0.30044,0.75797,0.07198,0,0.0018416,0.0018416,0.0018416
10,264.671,1.32871,8.01794,0.36943,1.07774,0.05667,11.1047,0.7575,0.85294,0.90589,0.62197,0.0282,0.11765,0.00458,0.00058,1.10561,7.01209,0.28159,0.94691,0.05055,0,0.0018218,0.0018218,0.0018218
11,290.97,1.20601,7.46158,0.33187,0.93553,0.05033,10.2197,0.94325,0.79412,0.93629,0.62538,0.0101,0.05882,0.00059,8e-05,1.13735,8.03452,0.28243,0.84807,0.05086,0,0.001802,0.001802,0.001802
12,316.69,1.288,7.52591,0.31612,0.72346,0.05551,10.209,0.77978,0.9374,0.91373,0.51203,0.06588,0.05882,0.00773,0.00265,1.59427,7.42778,0.27735,0.89915,0.07326,0,0.0017822,0.0017822,0.0017822
13,342.232,1.32266,7.68782,0.33738,0.76688,0.05636,10.324,0.75164,0.89028,0.88125,0.52605,0.10781,0.14706,0.0213,0.00313,1.30396,7.85787,0.23774,0.88023,0.05961,0,0.0017624,0.0017624,0.0017624
14,367.791,1.23668,6.76903,0.29904,0.84085,0.05093,9.38294,0.91638,0.9671,0.95046,0.64501,0.22958,0.32353,0.14549,0.02732,1.08184,5.29889,0.23667,0.58606,0.04842,0,0.0017426,0.0017426,0.0017426
15,393.743,1.21455,6.63338,0.28079,0.68455,0.05158,9.51097,0.93766,0.88491,0.9842,0.58409,0.09515,0.11765,0.02096,0.00358,1.45896,7.95984,0.24116,0.63861,0.0677,0,0.0017228,0.0017228,0.0017228
16,419.221,1.22575,6.12052,0.25903,0.65476,0.05151,8.75124,0.9531,0.94118,0.97791,0.57378,0.19821,0.35294,0.14915,0.02567,1.38688,5.33807,0.22559,0.70739,0.0594,0,0.001703,0.001703,0.001703
17,446.165,1.17753,6.11017,0.25242,0.5895,0.04798,8.67042,0.99644,0.79412,0.95914,0.61707,0.39041,0.43339,0.22473,0.0495,1.2211,4.94296,0.17008,0.64285,0.05344,0,0.0016832,0.0016832,0.0016832
18,472.003,1.09447,5.75943,0.23609,0.53542,0.04607,8.53076,0.88842,0.93684,0.96696,0.70638,0.35379,0.48323,0.21999,0.04653,1.05738,5.37707,0.17042,0.44308,0.04653,0,0.0016634,0.0016634,0.0016634
19,498.356,1.13462,5.37688,0.24069,0.59974,0.04735,7.99347,1,0.91241,0.98807,0.68793,0.3704,0.38235,0.19103,0.04061,1.16069,5.22413,0.19245,0.4724,0.05134,0,0.0016436,0.0016436,0.0016436
20,523.906,1.22059,6.05114,0.25301,0.6029,0.05013,8.47715,0.7695,0.94118,0.93642,0.65307,0.1707,0.29412,0.13087,0.02634,1.16558,6.29334,0.18098,0.5384,0.05145,0,0.0016238,0.0016238,0.0016238
21,549.533,1.14629,5.53692,0.23491,0.56388,0.04739,8.00377,0.86748,1,0.97846,0.64316,0.59133,0.64706,0.47509,0.1218,1.23217,3.91737,0.17792,0.43657,0.05631,0,0.001604,0.001604,0.001604
22,575.509,1.08636,4.96931,0.21845,0.49502,0.04554,7.5983,1,0.96365,0.99244,0.75583,0.70772,0.67647,0.56483,0.13985,0.89149,3.78642,0.17813,0.33453,0.03799,0,0.0015842,0.0015842,0.0015842
23,601.467,1.10368,4.54981,0.20571,0.41958,0.04628,7.29929,0.93992,1,0.98595,0.6838,0.52458,0.55882,0.37538,0.11524,1.18654,4.28604,0.17422,0.34398,0.05297,0,0.0015644,0.0015644,0.0015644
24,627.038,1.24987,4.99791,0.23539,0.47809,0.05434,7.57006,0.91882,0.99868,0.97996,0.69304,0.39901,0.52941,0.25702,0.07132,1.1068,4.91093,0.21932,0.43344,0.04883,0,0.0015446,0.0015446,0.0015446
25,652.553,1.13199,4.74579,0.20631,0.48974,0.04669,7.52811,0.84245,0.97059,0.9221,0.66971,0.61067,0.73818,0.5802,0.14142,1.11702,4.31896,0.21869,0.48346,0.04896,0,0.0015248,0.0015248,0.0015248
26,678.123,1.09861,4.88021,0.21224,0.5181,0.04515,7.54595,0.93734,0.94118,0.98282,0.69293,0.6395,0.64706,0.46171,0.17126,1.18872,3.68181,0.15887,0.44839,0.05211,0,0.001505,0.001505,0.001505
27,703.956,1.073,4.31194,0.19619,0.43324,0.04404,7.09205,0.96165,0.94118,0.95904,0.65285,0.69017,0.67647,0.60198,0.15282,1.27829,3.95091,0.21558,0.40522,0.05753,0,0.0014852,0.0014852,0.0014852
28,730.333,1.03392,4.39719,0.19139,0.48276,0.04332,7.01189,0.8432,0.94914,0.96556,0.65873,0.58346,0.64706,0.5056,0.16807,1.20547,3.80281,0.16908,0.46043,0.05312,0,0.0014654,0.0014654,0.0014654
29,756.578,1.10226,4.5474,0.19566,0.43079,0.0468,7.20126,0.91224,0.94118,0.98025,0.74939,0.53627,0.64706,0.48929,0.13916,0.87294,4.06904,0.1565,0.36241,0.03716,0,0.0014456,0.0014456,0.0014456
30,782.366,1.16296,4.40107,0.19188,0.43471,0.0478,6.86608,0.88813,0.94118,0.97112,0.67841,0.42647,0.85294,0.5223,0.12335,1.12886,3.65013,0.16677,0.47356,0.04924,0,0.0014258,0.0014258,0.0014258
31,808.929,1.07662,4.29585,0.20389,0.42126,0.04449,6.91889,0.9409,0.93666,0.98404,0.73341,0.55531,0.55882,0.45838,0.11035,1.01188,4.15046,0.17394,0.37005,0.04324,0,0.001406,0.001406,0.001406
32,835.24,1.04612,3.99885,0.19329,0.40665,0.04405,6.55175,0.96953,0.9359,0.98586,0.74342,0.78685,0.76014,0.70043,0.23246,1.01434,3.20517,0.17039,0.36654,0.04445,0,0.0013862,0.0013862,0.0013862
33,861.981,0.99109,3.8267,0.19089,0.40842,0.04107,6.5622,0.99745,0.97059,0.99389,0.64012,0.75265,0.73529,0.58132,0.20197,1.3185,3.34202,0.1631,0.50415,0.05934,0,0.0013664,0.0013664,0.0013664
34,887.668,0.99013,3.76044,0.19903,0.3865,0.03998,6.18962,0.852,0.94118,0.97072,0.69485,0.66011,0.70588,0.56928,0.16186,1.13363,3.52833,0.19399,0.40769,0.04956,0,0.0013466,0.0013466,0.0013466
35,913.432,1.01311,3.94861,0.19457,0.3785,0.0422,6.55694,1,0.96338,0.992,0.6901,0.38237,0.35294,0.2657,0.10226,1.13888,4.74935,0.19606,0.356,0.05097,0,0.0013268,0.0013268,0.0013268
36,939.055,1.03608,3.79372,0.18754,0.34645,0.04253,6.44903,0.97115,0.99036,0.99186,0.68961,0.88466,0.90253,0.85429,0.32756,1.16577,2.49245,0.15904,0.36165,0.05145,0,0.001307,0.001307,0.001307
37,965.706,0.93464,3.29442,0.18273,0.33565,0.03821,5.86823,0.88741,0.97059,0.98039,0.72535,0.72547,0.79412,0.6264,0.24574,1.01744,3.19434,0.14924,0.4209,0.04322,0,0.0012872,0.0012872,0.0012872
38,991.606,1.05253,3.38944,0.18275,0.34895,0.04366,5.99639,0.8786,0.94118,0.95375,0.69395,0.85033,0.91176,0.91314,0.34812,1.10258,2.77369,0.21358,0.45303,0.04906,0,0.0012674,0.0012674,0.0012674
39,1017.88,1.08302,3.70972,0.17589,0.3351,0.04527,6.16325,1,0.88051,0.96905,0.68397,0.52832,0.5,0.29246,0.09876,1.20399,5.43113,0.26628,0.46026,0.05202,0,0.0012476,0.0012476,0.0012476
40,1043.71,1.02137,4.08751,0.19235,0.36916,0.0415,6.48011,0.99565,1,0.995,0.72922,0.70252,0.70588,0.52031,0.18337,1.11367,4.10171,0.15519,0.34372,0.04783,0,0.0012278,0.0012278,0.0012278
41,1070.11,1.01317,3.22373,0.18261,0.33791,0.04026,5.58579,0.99764,1,0.995,0.73002,0.87879,0.88235,0.84767,0.35482,1.07893,2.43834,0.17158,0.27283,0.04602,0,0.001208,0.001208,0.001208
42,1112.22,1.00776,3.06347,0.17416,0.28864,0.04055,5.56997,0.91843,0.99358,0.99076,0.71977,0.79084,0.82353,0.72877,0.24984,1.13516,3.12587,0.18148,0.3093,0.0493,0,0.0011882,0.0011882,0.0011882
43,1138.35,0.96043,3.19019,0.16326,0.28629,0.0392,5.62194,0.96718,1,0.99443,0.72251,0.8531,0.88235,0.85159,0.29133,1.11248,2.68243,0.16402,0.27924,0.04803,0,0.0011684,0.0011684,0.0011684
44,1163.72,1.0035,3.22615,0.17432,0.28709,0.04105,5.7294,0.99628,1,0.995,0.75307,0.84912,0.85294,0.75456,0.28297,0.99441,2.51879,0.16019,0.25788,0.04247,0,0.0011486,0.0011486,0.0011486
45,1189.26,0.96375,3.12086,0.17616,0.2776,0.03983,5.54046,0.99725,0.97059,0.99389,0.71904,0.93675,0.91176,0.90409,0.32239,1.15309,2.76663,0.18575,0.2859,0.04986,0,0.0011288,0.0011288,0.0011288
46,1214.91,0.96512,2.94808,0.17304,0.30571,0.03859,5.24738,1,0.96643,0.99244,0.70735,0.90871,0.8784,0.8443,0.38363,1.12866,2.26608,0.17666,0.30277,0.04936,0,0.001109,0.001109,0.001109
47,1240.99,0.93813,2.56871,0.16728,0.24903,0.03783,4.86734,1,0.9701,0.99338,0.76171,0.96968,0.94077,0.96357,0.44072,0.95357,2.15029,0.17574,0.25903,0.04058,0,0.0010892,0.0010892,0.0010892
48,1266.83,0.92672,2.37583,0.17019,0.27755,0.03725,4.50804,1,0.99933,0.995,0.74367,0.94115,0.94074,0.94117,0.39517,1.00041,2.39294,0.1635,0.23751,0.04251,0,0.0010694,0.0010694,0.0010694
49,1292.67,0.8796,2.5224,0.16801,0.29305,0.03574,4.90723,0.99981,1,0.995,0.76442,0.97,0.97059,0.94794,0.49994,0.96773,1.95025,0.17404,0.2542,0.04048,0,0.0010496,0.0010496,0.0010496
50,1318.71,0.9434,2.50931,0.16759,0.27866,0.0376,4.78528,0.96597,1,0.99014,0.70031,0.90869,0.94118,0.89599,0.37058,1.10899,2.55176,0.19814,0.30908,0.04731,0,0.0010298,0.0010298,0.0010298
51,1344.3,0.95213,2.64523,0.16737,0.30173,0.03815,5.02138,0.99975,1,0.995,0.76089,0.91014,0.91176,0.85712,0.46403,0.98287,1.90312,0.17379,0.28338,0.04157,0,0.00101,0.00101,0.00101
