epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6274,1.45078,2.08495,0.00762,0.56759,0.44243,0.48913,0.28836,1.19692,0.9478,0.00144,0.000331715,0.000331715,0.000331715
2,117.335,1.41007,1.32552,0.0069,0.86592,0.64133,0.73397,0.46566,1.21442,0.55898,0.00164,0.000658465,0.000658465,0.000658465
3,172.356,1.41368,1.22715,0.00695,0.83586,0.65834,0.75354,0.43945,1.37109,0.55037,0.0016,0.000978614,0.000978614,0.000978614
4,227.841,1.39172,1.16094,0.00667,0.86456,0.73874,0.78875,0.4606,1.40463,0.5075,0.00171,0.0009703,0.0009703,0.0009703
5,284.026,1.38215,1.12873,0.00674,0.7797,0.74188,0.79252,0.47916,1.31589,0.48748,0.0016,0.0009604,0.0009604,0.0009604
6,339.361,1.35431,1.09286,0.00643,0.9029,0.73683,0.81333,0.49548,1.35189,0.47601,0.00163,0.0009505,0.0009505,0.0009505
7,394.846,1.32733,1.00705,0.00606,0.83448,0.7843,0.81788,0.49559,1.28986,0.44955,0.00152,0.0009406,0.0009406,0.0009406
8,450.714,1.31468,1.04635,0.00635,0.83496,0.71085,0.80103,0.50459,1.15342,0.48024,0.00139,0.0009307,0.0009307,0.0009307
9,507.907,1.30724,1.00228,0.00634,0.85084,0.74465,0.81368,0.50404,1.32312,0.50324,0.00152,0.0009208,0.0009208,0.0009208
10,563.687,1.30356,0.98366,0.00624,0.84484,0.76008,0.82122,0.50056,1.29997,0.47543,0.00158,0.0009109,0.0009109,0.0009109
11,619.474,1.31078,0.98175,0.00612,0.92138,0.76232,0.82351,0.47225,1.33688,0.47457,0.00159,0.000901,0.000901,0.000901
12,675.088,1.28872,0.97359,0.00604,0.87408,0.79575,0.81675,0.49943,1.28809,0.46482,0.0015,0.0008911,0.0008911,0.0008911
13,730.925,1.29116,0.94432,0.006,0.89888,0.80952,0.85202,0.50218,1.38958,0.45305,0.00159,0.0008812,0.0008812,0.0008812
14,786.908,1.27816,0.91951,0.00596,0.94326,0.76551,0.8438,0.54663,1.13441,0.40726,0.0014,0.0008713,0.0008713,0.0008713
15,843.211,1.26141,0.98718,0.00651,0.91351,0.792,0.83924,0.48516,1.39315,0.4421,0.00157,0.0008614,0.0008614,0.0008614
16,899.357,1.26515,0.99048,0.00693,0.86957,0.7933,0.83833,0.54672,1.06425,0.39568,0.00131,0.0008515,0.0008515,0.0008515
17,955.698,1.27633,0.89584,0.00578,0.89103,0.79301,0.84616,0.5359,1.21135,0.39921,0.00152,0.0008416,0.0008416,0.0008416
18,1011.78,1.23659,0.92894,0.00604,0.9462,0.7996,0.84555,0.53608,1.20235,0.38885,0.00141,0.0008317,0.0008317,0.0008317
19,1076.11,1.26568,0.86226,0.00557,0.94755,0.81764,0.85341,0.53036,1.25648,0.40803,0.00144,0.0008218,0.0008218,0.0008218
20,1141.84,1.26692,0.90864,0.00592,0.91252,0.80301,0.83911,0.5298,1.25157,0.40589,0.00149,0.0008119,0.0008119,0.0008119
21,1206.15,1.21981,0.89354,0.00579,0.89625,0.78471,0.84217,0.56211,1.10364,0.3883,0.00131,0.000802,0.000802,0.000802
22,1273.13,1.24598,0.88491,0.00579,0.91735,0.82551,0.84894,0.51434,1.29273,0.40567,0.00153,0.0007921,0.0007921,0.0007921
23,1333.51,1.19644,0.862,0.00591,0.90491,0.80809,0.85187,0.53711,1.19588,0.38649,0.00136,0.0007822,0.0007822,0.0007822
24,1399.9,1.20323,0.885,0.00595,0.96831,0.80391,0.84815,0.50889,1.32241,0.40321,0.00149,0.0007723,0.0007723,0.0007723
25,1467.73,1.21252,0.87182,0.0061,0.93779,0.80889,0.82868,0.52563,1.26407,0.40211,0.00147,0.0007624,0.0007624,0.0007624
26,1536.82,1.18779,0.85534,0.00621,0.89274,0.76845,0.82619,0.53725,1.13398,0.39258,0.00133,0.0007525,0.0007525,0.0007525
27,1592.68,1.18867,0.82531,0.00529,0.88569,0.80153,0.83951,0.55984,1.06967,0.35642,0.00127,0.0007426,0.0007426,0.0007426
28,1648.52,1.19271,0.8525,0.00584,0.91023,0.82162,0.85518,0.56613,1.08653,0.35712,0.00135,0.0007327,0.0007327,0.0007327
29,1704.95,1.17614,0.86794,0.00618,0.85555,0.85427,0.855,0.55935,1.08256,0.37099,0.00129,0.0007228,0.0007228,0.0007228
30,1761.48,1.17958,0.81569,0.00575,0.95362,0.8267,0.86099,0.54808,1.10791,0.35528,0.00139,0.0007129,0.0007129,0.0007129
31,1817.9,1.16666,0.77542,0.00498,0.92895,0.82409,0.85952,0.54996,1.13689,0.36641,0.0014,0.000703,0.000703,0.000703
32,1880.56,1.17029,0.81886,0.00551,0.89299,0.80962,0.84206,0.54146,1.16056,0.37185,0.00148,0.0006931,0.0006931,0.0006931
33,1940.63,1.18182,0.84853,0.00572,0.84989,0.82719,0.8465,0.58235,0.9651,0.3614,0.00118,0.0006832,0.0006832,0.0006832
